Column1;country;country_code;indicator;indicator_user;year;value
275;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1987;"-1.1							"
276;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1988;"-1.7							"
277;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1989;"0.6							"
278;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1990;"-7.6							"
279;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1991;
280;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1992;
281;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1993;
282;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1994;
283;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1995;"20.8							"
284;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1996;"88.96							"
285;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1997;"34.39							"
286;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1998;"15.6							"
287;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1999;"9.6							"
288;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);2000;"12.77							"
289;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);2001;"2.42							"
290;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);2002;"5.03							"
291;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);2003;"3.87							"
292;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);2004;"6.33							"
293;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);2005;"3.9							"
294;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);2006;"5.41							"
295;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);2007;"5.86							"
296;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);2008;"5.44							"
297;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);2009;"-3.0							"
298;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);2010;"0.87							"
299;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);2011;"0.96							"
300;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);2012;"-0.82							"
301;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);2013;"2.35							"
302;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);2014;"1.15							"
303;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);2015;"3.09							"
304;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);2016;"3.15							"
305;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);2017;"3.17							"
306;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);2018;"3.74							"
307;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);2019;"2.83							"
308;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);2020;"-3.12							"
309;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);2021;"7.55							"
310;Bulgaria;BGR;gdp_growth;GDP Growth (%);1960;
311;Bulgaria;BGR;gdp_growth;GDP Growth (%);1961;
312;Bulgaria;BGR;gdp_growth;GDP Growth (%);1962;
313;Bulgaria;BGR;gdp_growth;GDP Growth (%);1963;
314;Bulgaria;BGR;gdp_growth;GDP Growth (%);1964;
315;Bulgaria;BGR;gdp_growth;GDP Growth (%);1965;
316;Bulgaria;BGR;gdp_growth;GDP Growth (%);1966;
317;Bulgaria;BGR;gdp_growth;GDP Growth (%);1967;
318;Bulgaria;BGR;gdp_growth;GDP Growth (%);1968;
319;Bulgaria;BGR;gdp_growth;GDP Growth (%);1969;
320;Bulgaria;BGR;gdp_growth;GDP Growth (%);1970;
321;Bulgaria;BGR;gdp_growth;GDP Growth (%);1971;
322;Bulgaria;BGR;gdp_growth;GDP Growth (%);1972;
323;Bulgaria;BGR;gdp_growth;GDP Growth (%);1973;
324;Bulgaria;BGR;gdp_growth;GDP Growth (%);1974;
325;Bulgaria;BGR;gdp_growth;GDP Growth (%);1975;
326;Bulgaria;BGR;gdp_growth;GDP Growth (%);1976;
327;Bulgaria;BGR;gdp_growth;GDP Growth (%);1977;
328;Bulgaria;BGR;gdp_growth;GDP Growth (%);1978;
329;Bulgaria;BGR;gdp_growth;GDP Growth (%);1979;
330;Bulgaria;BGR;gdp_growth;GDP Growth (%);1980;
331;Bulgaria;BGR;gdp_growth;GDP Growth (%);1981;"4.9							"
332;Bulgaria;BGR;gdp_growth;GDP Growth (%);1982;"2.33							"
333;Bulgaria;BGR;gdp_growth;GDP Growth (%);1983;"3.43							"
334;Bulgaria;BGR;gdp_growth;GDP Growth (%);1984;"3.4							"
335;Bulgaria;BGR;gdp_growth;GDP Growth (%);1985;"2.68							"
336;Bulgaria;BGR;gdp_growth;GDP Growth (%);1986;"4.21							"
337;Bulgaria;BGR;gdp_growth;GDP Growth (%);1987;"6.05							"
338;Bulgaria;BGR;gdp_growth;GDP Growth (%);1988;"10.94							"
339;Bulgaria;BGR;gdp_growth;GDP Growth (%);1989;"-3.29							"
340;Bulgaria;BGR;gdp_growth;GDP Growth (%);1990;"-9.12							"
341;Bulgaria;BGR;gdp_growth;GDP Growth (%);1991;"-8.45							"
342;Bulgaria;BGR;gdp_growth;GDP Growth (%);1992;"-7.27							"
343;Bulgaria;BGR;gdp_growth;GDP Growth (%);1993;"-1.48							"
344;Bulgaria;BGR;gdp_growth;GDP Growth (%);1994;"1.82							"
345;Bulgaria;BGR;gdp_growth;GDP Growth (%);1995;"2.86							"
346;Bulgaria;BGR;gdp_growth;GDP Growth (%);1996;"5.21							"
